i,TE,err TE,p-value
0,1.763041991330395,0.13900149308565884,0.0
1,1.763041991330395,0.15202696400051408,0.0
2,1.75371291412716,0.1554955848706652,0.0
3,1.75371291412716,0.164825671262566,0.0
4,1.75371291412716,0.13785222648356835,0.0
5,1.75371291412716,0.15175587377082164,0.0
6,1.75371291412716,0.14415246070087975,0.0
7,1.75371291412716,0.1578256608499241,0.0
8,1.75371291412716,0.1508628598661676,0.0
9,1.75371291412716,0.15074879379199016,0.0
10,1.75371291412716,0.16722699459114462,0.0
11,1.752187468769442,0.15191808714015925,0.0
12,1.752187468769442,0.14721367684630748,0.0
13,1.752187468769442,0.15196034780697265,0.0
14,1.752187468769442,0.16351001219185793,0.0
15,1.752187468769442,0.13412207118841651,0.0
16,1.752187468769442,0.15016581598543097,0.0
17,1.751103934528082,0.15564434112398057,0.0
18,1.751103934528082,0.16441000721693205,0.0
19,1.751103934528082,0.1660760514982215,0.0
20,1.7505880811495889,0.13777145484067543,0.0
21,1.7505880811495889,0.14387159345415693,0.0
22,1.7505880811495889,0.1602831318507465,0.0
23,1.7500681784827616,0.15956976018387994,0.0
24,1.7500681784827616,0.16315135695383637,0.0
25,1.7500681784827616,0.14700254906043347,0.0
26,1.7485014248443989,0.14634440617912559,0.0
27,1.7485014248443989,0.13687790761017735,0.0
28,1.7473749587019967,0.145110500778159,0.0
29,1.7473749587019967,0.13756803296287248,0.0
30,1.7471512303296226,0.15035188689898246,0.0
31,1.7477573029413538,0.1827960213869586,0.0
32,1.7477573029413538,0.15794280037533803,0.0
33,1.7465917222842524,0.18316157494434848,0.0
34,1.7461197948175222,0.14512321871553538,0.0
35,1.7463605980541566,0.14985229857594856,0.0
36,1.7469783148780174,0.14960707734777973,0.0
37,1.7467195159181994,0.13703843850929467,0.0
38,1.7464656163898251,0.1556109879353798,0.0
39,1.746091402985403,0.14802687818756544,0.0
40,1.7456267993506724,0.15888597432279966,0.0
41,1.7437861710256115,0.17090910115495583,0.0
42,1.7426147514036732,0.15388753949331235,0.0
43,1.7403847269614854,0.16378087557065427,0.0
44,1.7390151258036575,0.16472707345732532,0.0
45,1.7378957833842534,0.1650180622006924,0.0
46,1.7368660803257914,0.15033679172687497,0.0
47,1.7335612296711904,0.16164235154865272,0.0
48,1.7323421790636395,0.15803745782938003,0.0
49,1.732026128676674,0.15817421770158416,0.0
50,1.7299390708986397,0.13516628897386598,0.0
51,1.7287742300567697,0.16106120496773935,0.0
52,1.7280123066693793,0.147569947093502,0.0
53,1.7270064637090705,0.15501404255468837,0.0
54,1.726204588623979,0.15784654769242118,0.0
55,1.7249846841398107,0.1580311257484767,0.0
56,1.7216743313801661,0.14599216181801847,0.0
57,1.7146205968121624,0.14869921262953714,0.0
58,1.7071630042999981,0.15078683291930164,0.0
59,1.70396534888725,0.1270397549602287,0.0
60,1.7035019961354916,0.16229407319483455,0.0
61,1.7013441910740585,0.1445216981552849,0.0
62,1.69592975595633,0.16846662390175052,0.0
63,1.6883867092168554,0.1627853071512367,0.0
64,1.6787534076826702,0.16272963584680733,0.0
65,1.6724455716771551,0.17770517739143674,0.0
66,1.6650624019528184,0.1592202890897895,0.0
67,1.6566283349774942,0.1453597279870486,0.0
68,1.6449916772642794,0.17358110560423404,0.0
69,1.6369927285071864,0.14105027554513375,0.0
70,1.627917639573326,0.13804637099456385,0.0
71,1.6193179531086166,0.14428361524876315,0.0
72,1.606054178040667,0.1647504343683859,0.0
73,1.5963078472696424,0.15451354056741992,0.0
74,1.586473684518463,0.1493234312212265,0.0
75,1.5772793181386628,0.15943957567591754,0.0
76,1.560841295995445,0.1590314929496336,0.0
77,1.547481643742568,0.14488215283064537,0.0
78,1.53090137894673,0.16452273403931927,0.0
79,1.5192959250051565,0.15663856402434917,0.0
80,1.5001797497730287,0.16099594591161584,0.0
81,1.484635471292533,0.15999199078177292,0.0
82,1.4706364767604718,0.16855957331891117,0.0
83,1.4589630799559536,0.15924582389261768,0.0
84,1.446169258420598,0.16176212649584285,0.0
85,1.4328422102984195,0.1477051523578547,0.0
86,1.4060599958074658,0.1674993540123118,0.0
87,1.3560026865836363,0.14731441374507748,0.0
88,1.3161950799884004,0.14349756996563143,0.0
89,1.2995224190639938,0.1678733905799276,9.769962616701378e-15
90,1.3227615713554748,0.16840440607792267,3.9968028886505635e-15
91,1.3620107880000916,0.14183567763078522,0.0
92,1.380379352161313,0.14076172995214575,0.0
93,1.3467912699663565,0.13850354826170708,0.0
94,1.290629629780092,0.1601897969695942,8.881784197001252e-16
95,1.2937357267064815,0.14546639555222918,0.0
96,1.330973364978215,0.16503407038244933,6.661338147750939e-16
97,1.319395593767883,0.14497548794362228,0.0
98,1.2743369223577048,0.1430188573213526,0.0
99,1.1676702559401875,0.13397800225362638,0.0
100,1.1676702559401875,0.14097532788743308,2.220446049250313e-16
